year,month,date,song,band,views
2018,02,01,Never,25hours,187608321
2018,03,01,Leave,Potato,192856473
2018,03,01,Soulmate,Cocktail,167038475
2018,03,01,Object,Klear,181564732
2018,03,01,Never,25hours,194658303
2018,04,01,Leave,Potato,193756123
2018,04,01,Soulmate,Cocktail,167349217
2018,04,01,Object,Klear,183659675
2018,04,01,Never,25hours,201899564
2018,05,01,Leave,Potato,194504732
2018,05,01,Soulmate,Cocktail,167595734
2018,05,01,Object,Klear,185643256
2018,05,01,Never,25hours,207564968
2018,06,01,Leave,Potato,195678945
2018,06,01,Soulmate,Cocktail,167837264
2018,06,01,Object,Klear,187560987
2018,06,01,Never,25hours,211185647
2018,07,01,Leave,Potato,196253432
2018,07,01,Soulmate,Cocktail,168075641
2018,07,01,Object,Klear,189564325
2018,07,01,Never,25hours,214867395
2018,08,01,Leave,Potato,197346583
2018,08,01,Soulmate,Cocktail,168284103
2018,08,01,Object,Klear,191675643
2018,08,01,Never,25hours,216583054
2018,09,01,Leave,Potato,198956473
2018,09,01,Soulmate,Cocktail,168558392
2018,09,01,Object,Klear,195473859
2018,09,01,Never,25hours,217465085
2018,10,01,Leave,Potato,201856473
2018,10,01,Soulmate,Cocktail,169937501
2018,10,01,Object,Klear,202758432
2018,10,01,Never,25hours,219673054
2018,11,01,Leave,Potato,204756482
2018,11,01,Soulmate,Cocktail,170483751
2018,11,01,Object,Klear,210570907
2018,11,01,Never,25hours,221956434
2018,12,01,Leave,Potato,207463521
2018,12,01,Soulmate,Cocktail,170957302
2018,12,01,Object,Klear,218564023
2018,12,01,Never,25hours,223574820
2019,01,01,Leave,Potato,209574632
2019,01,01,Soulmate,Cocktail,171405832
2019,01,01,Object,Klear,225864321
2019,01,01,Never,25hours,225872940
2019,02,01,Leave,Potato,210574632
2019,02,01,Soulmate,Cocktail,171947201
2019,02,01,Object,Klear,227658430
2019,02,01,Never,25hours,228473695
2019,03,01,Leave,Potato,212674531
2019,03,01,Soulmate,Cocktail,172249374
2019,03,01,Object,Klear,229765086
2019,03,01,Never,25hours,235748393
2019,04,01,Leave,Potato,213564732
2019,04,01,Soulmate,Cocktail,172471064
2019,04,01,Object,Klear,230874321
2019,04,01,Never,25hours,240685943
2019,05,01,Leave,Potato,214364521
2019,05,01,Soulmate,Cocktail,172663017
2019,05,01,Object,Klear,232598743
2019,05,01,Never,25hours,244750395
2019,06,01,Leave,Potato,215765432
2019,06,01,Soulmate,Cocktail,172937101
2019,06,01,Object,Klear,233080605
2019,06,01,Never,25hours,246589675
2019,07,01,Leave,Potato,216453865
2019,07,01,Soulmate,Cocktail,173520418
2019,07,01,Object,Klear,234875649
2019,07,01,Never,25hours,248573906
2019,08,01,Leave,Potato,217564234
2019,08,01,Soulmate,Cocktail,173729472
2019,08,01,Object,Klear,235875037
2019,08,01,Never,25hours,249680485
2019,09,01,Leave,Potato,218975643
2019,09,01,Soulmate,Cocktail,174039275
2019,09,01,Object,Klear,237026187
2019,09,01,Never,25hours,251985044
2019,10,01,Leave,Potato,220584732
2019,10,01,Soulmate,Cocktail,174394837
2019,10,01,Object,Klear,240864931
2019,10,01,Never,25hours,253110584
2019,11,01,Leave,Potato,222876543
2019,11,01,Soulmate,Cocktail,174992857
2019,11,01,Object,Klear,244690312
2019,11,01,Never,25hours,254606864
2019,12,01,Leave,Potato,225856432
2019,12,01,Soulmate,Cocktail,175474928
2019,12,01,Object,Klear,249763020
2019,12,01,Never,25hours,256950488
2020,01,01,Leave,Potato,227125432
2020,01,01,Soulmate,Cocktail,175726493
2020,01,01,Object,Klear,252967843
2020,01,01,Never,25hours,257453621
2020,02,01,Leave,Potato,228465738
2020,02,01,Soulmate,Cocktail,176038592
2020,02,01,Object,Klear,253975310
2020,02,01,Never,25hours,258473956
2020,03,01,Leave,Potato,229665774
2020,03,01,Soulmate,Cocktail,176254328
2020,03,01,Object,Klear,254869470
2020,03,01,Never,25hours,260564783
2020,04,01,Leave,Potato,230765432
2020,04,01,Soulmate,Cocktail,176539571
2020,04,01,Object,Klear,255460581
2020,04,01,Never,25hours,262524281
2020,05,01,Leave,Potato,231867432
2020,05,01,Soulmate,Cocktail,176739275
2020,05,01,Object,Klear,256487392
2020,05,01,Never,25hours,264537985
2020,06,01,Leave,Potato,232775321
2020,06,01,Soulmate,Cocktail,177038573
2020,06,01,Object,Klear,257594703
2020,06,01,Never,25hours,265463784
2020,07,01,Leave,Potato,233857421
2020,07,01,Soulmate,Cocktail,177274925
2020,07,01,Object,Klear,258056485
2020,07,01,Never,25hours,266874932
2020,08,01,Leave,Potato,234896543
